comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,fva_daily::entregas_sge::h9,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h9,wape,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h9,bias,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h9,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h10,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h10,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h10,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h10,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h11,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h11,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h11,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h11,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h12,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h12,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h12,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h12,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h13,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h13,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h13,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h13,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h14,mae,3.0,3.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h14,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h14,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h14,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h15,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h15,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h15,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h15,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h16,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h16,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h16,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h16,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h17,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h17,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h17,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h17,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h18,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h18,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h18,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h18,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,wape,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,bias,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h20,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h20,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h20,bias,,,,
