comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,fva_daily::recogidas_ege::h26,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h27,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h27,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h27,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h27,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h28,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h28,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h28,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h28,n,1,1,0.0,
reference_vs_current,ds_entregas_sge_dia,winner_model,linear_full,linear_full,,
reference_vs_current,ds_entregas_sge_dia,winner_mean_wape,0.8854940216932963,0.8854940216932963,0.0,
reference_vs_current,ds_entregas_sge_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_entregas_sge_semana,winner_mean_wape,0.6317031706974233,0.6317031706974233,0.0,
reference_vs_current,ds_entregas_sgp_dia,winner_model,median_dow,median_dow,,
reference_vs_current,ds_entregas_sgp_dia,winner_mean_wape,0.6356850993248543,0.6356850993248543,0.0,
reference_vs_current,ds_entregas_sgp_semana,winner_model,boosting_full,boosting_full,,
reference_vs_current,ds_entregas_sgp_semana,winner_mean_wape,0.6261486041101373,0.6261486041101373,0.0,
reference_vs_current,ds_picking_lines_pi_dia,winner_model,boosting_full,boosting_full,,
reference_vs_current,ds_picking_lines_pi_dia,winner_mean_wape,0.4922536496962056,0.4922536496962056,0.0,
reference_vs_current,ds_picking_lines_pi_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_picking_lines_pi_semana,winner_mean_wape,0.3526243133566799,0.3526243133566799,0.0,
reference_vs_current,ds_picking_units_pi_dia,winner_model,median_dow,median_dow,,
reference_vs_current,ds_picking_units_pi_dia,winner_mean_wape,0.6118018415052111,0.6118018415052111,0.0,
reference_vs_current,ds_picking_units_pi_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_picking_units_pi_semana,winner_mean_wape,0.371829872642463,0.371829872642463,0.0,
reference_vs_current,ds_recogidas_ege_dia,winner_model,linear_full,linear_full,,
reference_vs_current,ds_recogidas_ege_dia,winner_mean_wape,0.7684016888312852,0.7684016888312852,0.0,
reference_vs_current,ds_recogidas_ege_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_recogidas_ege_semana,winner_mean_wape,0.4813558171741512,0.4813558171741512,0.0,
