comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,movimientos,canonical_present::operario,1,1,0.0,
reference_vs_current,movimientos,null_rate::operario,0.03472735079433233,0.03469777146347657,-2.9579330855761254e-05,
reference_vs_current,movimientos,canonical_present::pedido,1,1,0.0,
reference_vs_current,movimientos,null_rate::pedido,0.4096693860025762,0.409949142421809,0.000279756419232835,
reference_vs_current,movimientos,canonical_present::pedido_externo,1,1,0.0,
reference_vs_current,movimientos,null_rate::pedido_externo,0.44541004723057104,0.4456558294040535,0.00024578217348247833,
reference_vs_current,movimientos,canonical_present::tipo_movimiento,1,1,0.0,
reference_vs_current,movimientos,null_rate::tipo_movimiento,0.028362387290682696,0.028335426661450506,-2.6960629232190142e-05,
reference_vs_current,movimientos,canonical_present::ubicacion,1,1,0.0,
reference_vs_current,movimientos,null_rate::ubicacion,0.42774753112924,0.427632617483751,-0.00011491364548904537,
reference_vs_current,movimientos,date_non_null_pct::fecha_finalizacion,0.9716376127093173,0.9716645733385495,2.6960629232242184e-05,
reference_vs_current,movimientos,date_min::fecha_finalizacion,2022-01-03,2022-01-03,,
reference_vs_current,movimientos,date_max::fecha_finalizacion,2026-03-27,2026-03-31,,
reference_vs_current,movimientos,date_non_null_pct::fecha_inicio,0.9716376127093173,0.9716645733385495,2.6960629232242184e-05,
reference_vs_current,movimientos,date_min::fecha_inicio,2022-01-03,2022-01-03,,
reference_vs_current,movimientos,date_max::fecha_inicio,2026-03-27,2026-03-31,,
reference_vs_current,movimientos,dtype_changes_count,0,0,0.0,
reference_vs_current,solicitudes,rows,5424,5435,11.0,
reference_vs_current,solicitudes,columns,33,33,0.0,
reference_vs_current,solicitudes,missing_columns_in_current_count,0,0,0.0,
reference_vs_current,solicitudes,new_columns_in_current_count,0,0,0.0,
reference_vs_current,solicitudes,canonical_present::alta_baja,1,1,0.0,
reference_vs_current,solicitudes,null_rate::alta_baja,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::articulo,1,1,0.0,
reference_vs_current,solicitudes,null_rate::articulo,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::borrado_linea,1,1,0.0,
reference_vs_current,solicitudes,null_rate::borrado_linea,0.9710545722713865,0.9711131554737811,5.858320239460202e-05,
reference_vs_current,solicitudes,canonical_present::borrado_solicitud,1,1,0.0,
reference_vs_current,solicitudes,null_rate::borrado_solicitud,0.9793510324483776,0.9793928242870286,4.179183865093972e-05,
reference_vs_current,solicitudes,canonical_present::cant_almacenada,1,1,0.0,
reference_vs_current,solicitudes,null_rate::cant_almacenada,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::cant_confirmada,1,1,0.0,
reference_vs_current,solicitudes,null_rate::cant_confirmada,0.0153023598820059,0.015271389144434223,-3.09707375716773e-05,
reference_vs_current,solicitudes,canonical_present::cant_solicitada,1,1,0.0,
reference_vs_current,solicitudes,null_rate::cant_solicitada,0.0153023598820059,0.015271389144434223,-3.09707375716773e-05,
reference_vs_current,solicitudes,canonical_present::codigo_generico,1,1,0.0,
reference_vs_current,solicitudes,null_rate::codigo_generico,0.022492625368731565,0.022447102115915364,-4.5523252816200704e-05,
reference_vs_current,solicitudes,canonical_present::comentarios,1,1,0.0,
reference_vs_current,solicitudes,null_rate::comentarios,0.14878318584070796,0.1501379944802208,0.0013548086395128445,
reference_vs_current,solicitudes,canonical_present::creacion_pedido,1,1,0.0,
reference_vs_current,solicitudes,null_rate::creacion_pedido,0.022492625368731565,0.022447102115915364,-4.5523252816200704e-05,
reference_vs_current,solicitudes,canonical_present::creacion_solicitud,1,1,0.0,
reference_vs_current,solicitudes,null_rate::creacion_solicitud,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::departamento,1,1,0.0,
reference_vs_current,solicitudes,null_rate::departamento,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::estado,1,1,0.0,
reference_vs_current,solicitudes,null_rate::estado,0.022492625368731565,0.022447102115915364,-4.5523252816200704e-05,
reference_vs_current,solicitudes,canonical_present::estado_linea,1,1,0.0,
reference_vs_current,solicitudes,null_rate::estado_linea,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::fin_evento,1,1,0.0,
reference_vs_current,solicitudes,null_rate::fin_evento,0.5162241887905604,0.5172033118675253,0.000979123076964905,
reference_vs_current,solicitudes,canonical_present::id,1,1,0.0,
reference_vs_current,solicitudes,null_rate::id,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::inicio_evento,1,1,0.0,
reference_vs_current,solicitudes,null_rate::inicio_evento,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::modificacion_linea,1,1,0.0,
reference_vs_current,solicitudes,null_rate::modificacion_linea,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::pedido,1,1,0.0,
reference_vs_current,solicitudes,null_rate::pedido,0.0153023598820059,0.015271389144434223,-3.09707375716773e-05,
reference_vs_current,solicitudes,canonical_present::propietario,1,1,0.0,
reference_vs_current,solicitudes,null_rate::propietario,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::provincia,1,1,0.0,
reference_vs_current,solicitudes,null_rate::provincia,0.022492625368731565,0.022447102115915364,-4.5523252816200704e-05,
reference_vs_current,solicitudes,canonical_present::reservation_finish_date,1,1,0.0,
reference_vs_current,solicitudes,null_rate::reservation_finish_date,0.6795722713864307,0.6802207911683532,0.0006485197819224853,
reference_vs_current,solicitudes,canonical_present::reservation_start_date,1,1,0.0,
reference_vs_current,solicitudes,null_rate::reservation_start_date,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::solicitud,1,1,0.0,
reference_vs_current,solicitudes,null_rate::solicitud,0.0,0.0,0.0,
reference_vs_current,solicitudes,canonical_present::ultima_modificacion,1,1,0.0,
reference_vs_current,solicitudes,null_rate::ultima_modificacion,0.022492625368731565,0.022447102115915364,-4.5523252816200704e-05,
reference_vs_current,solicitudes,date_non_null_pct::reservation_finish_date,0.32042772861356933,0.31977920883164673,-0.0006485197819225963,
reference_vs_current,solicitudes,date_min::reservation_finish_date,2025-11-05,2025-11-05,,
reference_vs_current,solicitudes,date_max::reservation_finish_date,2027-01-01,2027-01-01,,
reference_vs_current,solicitudes,date_non_null_pct::reservation_start_date,1.0,1.0,0.0,
reference_vs_current,solicitudes,date_min::reservation_start_date,2025-11-03,2025-11-03,,
reference_vs_current,solicitudes,date_max::reservation_start_date,2026-12-07,2026-12-07,,
reference_vs_current,solicitudes,dtype_changes_count,0,0,0.0,
reference_vs_current,maestro,rows,34391,34391,0.0,
reference_vs_current,maestro,columns,13,13,0.0,
